team,team_code,number,name,type
New Zealand,NZL,15,Marko Stamenić,player sticker
New Zealand,NZL,16,Ben Old,player sticker
New Zealand,NZL,17,Chris Wood,player sticker
New Zealand,NZL,18,Elijah Just,player sticker
New Zealand,NZL,19,Callum McCowatt,player sticker
New Zealand,NZL,20,Kosta Barbarouses,player sticker
Panama,PAN,1,Team Logo,team logo · foil
Panama,PAN,2,Orlando Mosquera,player sticker
Panama,PAN,3,Luis Mejia,player sticker
Panama,PAN,4,Fidel Escobar,player sticker
Panama,PAN,5,Andres Andrade,player sticker
Panama,PAN,6,Michael Amir Murillo,player sticker
Panama,PAN,7,Eric Davis,player sticker
Panama,PAN,8,Jose Cordoba,player sticker
Panama,PAN,9,Cesar Blackman,player sticker
Panama,PAN,10,Cristian Martinez,player sticker
Panama,PAN,11,Aníbal Godoy,player sticker
Panama,PAN,12,Adalberto Carrasquilla,player sticker
Panama,PAN,13,Team Photo,team photo
Panama,PAN,14,Édgar Bárcenas,player sticker
Panama,PAN,15,Carlos Harvey,player sticker
Panama,PAN,16,Ismael Díaz,player sticker
Panama,PAN,17,Jose Fajardo,player sticker
Panama,PAN,18,Cecilio Waterman,player sticker
Panama,PAN,19,Jose Luiz Rodriguez,player sticker
Panama,PAN,20,Alberto Quintero,player sticker
Paraguay,PAR,1,Team Logo,team logo · foil
Paraguay,PAR,2,Roberto Fernandez,player sticker
Paraguay,PAR,3,Orlando Gill,player sticker
Paraguay,PAR,4,Gustavo Gomez,player sticker
Paraguay,PAR,5,Fabián Balbuena,player sticker
Paraguay,PAR,6,Juan José Cáceres,player sticker
Paraguay,PAR,7,Omar Alderete,player sticker
Paraguay,PAR,8,Junior Alonso,player sticker
Paraguay,PAR,9,Mathías Villasanti,player sticker
Paraguay,PAR,10,Diego Gomez,player sticker
Paraguay,PAR,11,Damián Bobadilla,player sticker
Paraguay,PAR,12,Andres Cubas,player sticker
Paraguay,PAR,13,Team Photo,team photo
Paraguay,PAR,14,Matias Galarza Fonda,player sticker
Paraguay,PAR,15,Julio Enciso,player sticker
Paraguay,PAR,16,Alejandro Romero Gamarra,player sticker
Paraguay,PAR,17,Miguel Almirón,player sticker
Paraguay,PAR,18,Ramon Sosa,player sticker
Paraguay,PAR,19,Angel Romero,player sticker
Paraguay,PAR,20,Antonio Sanabria,player sticker
Portugal,POR,1,Team Logo,team logo · foil
Portugal,POR,2,Diogo Costa,player sticker
Portugal,POR,3,Jose Sa,player sticker
Portugal,POR,4,Ruben Dias,player sticker
Portugal,POR,5,João Cancelo,player sticker
Portugal,POR,6,Diogo Dalot,player sticker
Portugal,POR,7,Nuno Mendes,player sticker
Portugal,POR,8,Gonçalo Inácio,player sticker
Portugal,POR,9,Bernardo Silva,player sticker
Portugal,POR,10,Bruno Fernandes,player sticker
Portugal,POR,11,Ruben Neves,player sticker
Portugal,POR,12,Vitinha,player sticker
Portugal,POR,13,Team Photo,team photo
Portugal,POR,14,João Neves,player sticker
Portugal,POR,15,Cristiano Ronaldo,player sticker
Portugal,POR,16,Francisco Trincao,player sticker
Portugal,POR,17,João Felix,player sticker
Portugal,POR,18,Gonçalo Ramos,player sticker
Portugal,POR,19,Pedro Neto,player sticker
Portugal,POR,20,Rafael Leão,player sticker
Qatar,QAT,1,Team Logo,team logo · foil
Qatar,QAT,2,Meshaal Barsham,player sticker
Qatar,QAT,3,Sultan Albrake,player sticker
Qatar,QAT,4,Lucas Mendes,player sticker
Qatar,QAT,5,Homam Ahmed,player sticker
Qatar,QAT,6,Boualem Khoukhi,player sticker
Qatar,QAT,7,Pedro Miguel,player sticker
Qatar,QAT,8,Tarek Salman,player sticker
Qatar,QAT,9,Mohamed Al-Mannai,player sticker
Qatar,QAT,10,Karim Boudiaf,player sticker
Qatar,QAT,11,Assim Madibo,player sticker
Qatar,QAT,12,Ahmed Fatehi,player sticker
Qatar,QAT,13,Team Photo,team photo
Qatar,QAT,14,Mohammed Waad,player sticker
Qatar,QAT,15,Abdulaziz Hatem,player sticker
Qatar,QAT,16,Hassan Al-Haydos,player sticker
Qatar,QAT,17,Edmilson Junior,player sticker
Qatar,QAT,18,Akram Hassan Afif,player sticker
Qatar,QAT,19,Ahmed Al Ganehi,player sticker
Qatar,QAT,20,Almoez Ali,player sticker
South Africa,RSA,1,Team Logo,team logo · foil
South Africa,RSA,2,Ronwen Williams,player sticker
South Africa,RSA,3,Sipho Chaine,player sticker
South Africa,RSA,4,Aubrey Modiba,player sticker
South Africa,RSA,5,Samukele Kabini,player sticker
South Africa,RSA,6,Mbekezeli Mbokazi,player sticker
South Africa,RSA,7,Khulumani Ndamane,player sticker
South Africa,RSA,8,Siyabonga Ngezana,player sticker
South Africa,RSA,9,Khuliso Mudau,player sticker
South Africa,RSA,10,Nkosinathi Sibisi,player sticker
South Africa,RSA,11,Teboho Mokoena,player sticker
South Africa,RSA,12,Thalente Mbatha,player sticker
South Africa,RSA,13,Team Photo,team photo
South Africa,RSA,14,Bathasi Aubaas,player sticker
South Africa,RSA,15,Yaya Sithole,player sticker
South Africa,RSA,16,Sipho Mbule,player sticker
South Africa,RSA,17,Lyle Foster,player sticker
South Africa,RSA,18,Iqraam Rayners,player sticker
South Africa,RSA,19,Mohau Nkota,player sticker
South Africa,RSA,20,Oswin Appollis,player sticker
Scotland,SCO,1,Team Logo,team logo · foil
Scotland,SCO,2,Angus Gunn,player sticker
Scotland,SCO,3,Jack Hendry,player sticker
Scotland,SCO,4,Kieran Tierney,player sticker
Scotland,SCO,5,Aaron Hickey,player sticker
Scotland,SCO,6,Andrew Robertson,player sticker
Scotland,SCO,7,Scott McKenna,player sticker
Scotland,SCO,8,John Souttar,player sticker
Scotland,SCO,9,Anthony Ralston,player sticker
Scotland,SCO,10,Grant Hanley,player sticker
Scotland,SCO,11,Scott McTominay,player sticker
Scotland,SCO,12,Billy Gilmour,player sticker
Scotland,SCO,13,Team Photo,team photo
Scotland,SCO,14,Lewis Ferguson,player sticker
Scotland,SCO,15,Ryan Christie,player sticker
Scotland,SCO,16,Kenny McLean,player sticker
Scotland,SCO,17,John McGinn,player sticker
Scotland,SCO,18,Lyndon Dykes,player sticker
Scotland,SCO,19,Che Adams,player sticker
Scotland,SCO,20,Ben Gannon-Doak,player sticker
Senegal,SEN,1,Team Logo,team logo · foil
Senegal,SEN,2,Edouard Mendy,player sticker
Senegal,SEN,3,Yehvann Diouf,player sticker
Senegal,SEN,4,Moussa Niakhaté,player sticker
Senegal,SEN,5,Abdoulaye Seck,player sticker
Senegal,SEN,6,Ismail Jakobs,player sticker
Senegal,SEN,7,El Hadji Malick Diouf,player sticker
Senegal,SEN,8,Kalidou Koulibaly,player sticker
Senegal,SEN,9,Idrissa Gana Gueye,player sticker
Senegal,SEN,10,Pape Matar Sarr,player sticker
Senegal,SEN,11,Pape Gueye,player sticker
Senegal,SEN,12,Habib Diarra,player sticker
Senegal,SEN,13,Team Photo,team photo
Senegal,SEN,14,Lamine Camara,player sticker
Senegal,SEN,15,Sadio Mane,player sticker
Senegal,SEN,16,Ismaïla Sarr,player sticker
Senegal,SEN,17,Boulaye Dia,player sticker
Senegal,SEN,18,Iliman Ndiaye,player sticker
Senegal,SEN,19,Nicolas Jackson,player sticker
Senegal,SEN,20,Krepin Diatta,player sticker
Switzerland,SUI,1,Team Logo,team logo · foil
Switzerland,SUI,2,Gregor Kobel,player sticker
Switzerland,SUI,3,Yvon Mvogo,player sticker
Switzerland,SUI,4,Manuel Akanji,player sticker
Switzerland,SUI,5,Ricardo Rodriguez,player sticker
Switzerland,SUI,6,Nico Elvedi,player sticker
Switzerland,SUI,7,Aurèle Amenda,player sticker
Switzerland,SUI,8,Silvan Widmer,player sticker
Switzerland,SUI,9,Granit Xhaka,player sticker
Switzerland,SUI,10,Denis Zakaria,player sticker
Switzerland,SUI,11,Remo Freuler,player sticker
Switzerland,SUI,12,Fabian Rieder,player sticker
Switzerland,SUI,13,Team Photo,team photo
Switzerland,SUI,14,Ardon Jashari,player sticker
Switzerland,SUI,15,Johan Manzambi,player sticker
Switzerland,SUI,16,Michel Aebischer,player sticker
Switzerland,SUI,17,Breel Embolo,player sticker
Switzerland,SUI,18,Ruben Vargas,player sticker
Switzerland,SUI,19,Dan Ndoye,player sticker
Switzerland,SUI,20,Zeki Amdouni,player sticker
Sweden,SWE,1,Team Logo,team logo · foil
Sweden,SWE,2,Victor Johansson,player sticker
Sweden,SWE,3,Isak Hien,player sticker
Sweden,SWE,4,Gabriel Gudmundsson,player sticker
Sweden,SWE,5,Emil Holm,player sticker
Sweden,SWE,6,Victor Nilsson Lindelöf,player sticker
Sweden,SWE,7,Gustaf Lagerbielke,player sticker
Sweden,SWE,8,Lucas Bergvall,player sticker
Sweden,SWE,9,Hugo Larsson,player sticker
Sweden,SWE,10,Jesper Karlström,player sticker
Sweden,SWE,11,Yasin Ayari,player sticker
Sweden,SWE,12,Mattias Svanberg,player sticker
Sweden,SWE,13,Team Photo,team photo
Sweden,SWE,14,Daniel Svensson,player sticker
Sweden,SWE,15,Ken Sema,player sticker
Sweden,SWE,16,Roony Bardghji,player sticker
Sweden,SWE,17,Dejan Kulusevski,player sticker
Sweden,SWE,18,Anthony Elanga,player sticker
Sweden,SWE,19,Alexander Isak,player sticker
Sweden,SWE,20,Viktor Gyökeres,player sticker
Tunisia,TUN,1,Team Logo,team logo · foil
Tunisia,TUN,2,Bechir Ben Said,player sticker
Tunisia,TUN,3,Aymen Dahmen,player sticker
Tunisia,TUN,4,Yan Valery,player sticker
Tunisia,TUN,5,Montassar Talbi,player sticker
Tunisia,TUN,6,Yassine Meriah,player sticker
Tunisia,TUN,7,Ali Abdi,player sticker
Tunisia,TUN,8,Dylan Bronn,player sticker
Tunisia,TUN,9,Ellyes Skhiri,player sticker
Tunisia,TUN,10,Aissa Laidouni,player sticker
Tunisia,TUN,11,Ferjani Sassi,player sticker
Tunisia,TUN,12,Mohamed Ali Ben Romdhane,player sticker
Tunisia,TUN,13,Team Photo,team photo
Tunisia,TUN,14,Hannibal Mejbri,player sticker
Tunisia,TUN,15,Elias Achouri,player sticker
Tunisia,TUN,16,Elias Saad,player sticker
Tunisia,TUN,17,Hazem Mastouri,player sticker
Tunisia,TUN,18,Ismael Gharbi,player sticker
Tunisia,TUN,19,Sayfallah Ltaief,player sticker
Tunisia,TUN,20,Naim Sliti,player sticker
Turkey,TUR,1,Team Logo,team logo · foil
Turkey,TUR,2,Ugurcan Cakir,player sticker
Turkey,TUR,3,Mert Muldur,player sticker
Turkey,TUR,4,Zeki Celik,player sticker
Turkey,TUR,5,Abdulkerim Bardakci,player sticker
Turkey,TUR,6,Caglar Soyuncu,player sticker
Turkey,TUR,7,Merih Demiral,player sticker
Turkey,TUR,8,Ferdi Kadioglu,player sticker
Turkey,TUR,9,Kaan Ayhan,player sticker
Turkey,TUR,10,Ismail Yuksek,player sticker
Turkey,TUR,11,Hakan Calhanoglu,player sticker
Turkey,TUR,12,Orkun Kokcu,player sticker
Turkey,TUR,13,Team Photo,team photo
Turkey,TUR,14,Arda Guler,player sticker
Turkey,TUR,15,Irfan Can Kahveci,player sticker
Turkey,TUR,16,Yunus Akgun,player sticker
Turkey,TUR,17,Can Uzun,player sticker
Turkey,TUR,18,Baris Alper Yilmaz,player sticker
Turkey,TUR,19,Kerem Akturkoglu,player sticker
Turkey,TUR,20,Kenan Yildiz,player sticker
Uruguay,URU,1,Team Logo,team logo · foil
Uruguay,URU,2,Sergio Rochet,player sticker
Uruguay,URU,3,Santiago Mele,player sticker
Uruguay,URU,4,Ronald Araujo,player sticker
Uruguay,URU,5,José María Giménez,player sticker
Uruguay,URU,6,Sebastian Caceres,player sticker
Uruguay,URU,7,Mathias Olivera,player sticker
Uruguay,URU,8,Guillermo Varela,player sticker
Uruguay,URU,9,Nahitan Nandez,player sticker
Uruguay,URU,10,Federico Valverde,player sticker
Uruguay,URU,11,Giorgian De Arrascaeta,player sticker
Uruguay,URU,12,Rodrigo Bentancur,player sticker
Uruguay,URU,13,Team Photo,team photo
Uruguay,URU,14,Manuel Ugarte,player sticker
Uruguay,URU,15,Nicolás de la Cruz,player sticker
Uruguay,URU,16,Maxi Araujo,player sticker
Uruguay,URU,17,Darwin Núñez,player sticker
Uruguay,URU,18,Federico Viñas,player sticker
Uruguay,URU,19,Rodrigo Aguirre,player sticker
Uruguay,URU,20,Facundo Pellistri,player sticker
United States,USA,1,Team Logo,team logo · foil
United States,USA,2,Math Freese,player sticker
United States,USA,3,Chris Richards,player sticker
United States,USA,4,Tim Ream,player sticker
United States,USA,5,Mark McKenzie,player sticker
United States,USA,6,Alex Freeman,player sticker
United States,USA,7,Antonee Robinson,player sticker
United States,USA,8,Tyler Adams,player sticker
United States,USA,9,Tanner Tessmann,player sticker
United States,USA,10,Weston McKenny,player sticker
United States,USA,11,Christian Roldan,player sticker
United States,USA,12,Timothy Weah,player sticker
United States,USA,13,Team Photo,team photo
United States,USA,14,Diego Luna,player sticker
United States,USA,15,Malik Tillman,player sticker
United States,USA,16,Christian Pulisic,player sticker
United States,USA,17,Brenden Aaronson,player sticker
United States,USA,18,Ricardo Pepi,player sticker
United States,USA,19,Haji Wright,player sticker
United States,USA,20,Folarin Balogun,player sticker
Uzbekistan,UZB,1,Team Logo,team logo · foil
Uzbekistan,UZB,2,Utkir Yusupov,player
Uzbekistan,UZB,3,Farrukh Savfiev,player
Uzbekistan,UZB,4,Sherzod Nasrullaev,player
Uzbekistan,UZB,5,Umar Eshmurodov,player
Uzbekistan,UZB,6,Husniddin Aliqulov,player
Uzbekistan,UZB,7,Rustamjon Ashurmatov,player
Uzbekistan,UZB,8,Khojiakbar Alijonov,player
Uzbekistan,UZB,9,Abdukodir Khusanov,player
Uzbekistan,UZB,10,Odiljon Hamrobekov,player
Uzbekistan,UZB,11,Otabek Shukurov,player
Uzbekistan,UZB,12,Jamshid Iskanderov,player
Uzbekistan,UZB,13,Team Photo,team photo
Uzbekistan,UZB,14,Azizbek Turgunboev,player
Uzbekistan,UZB,15,Khojimat Erkinov,player
Uzbekistan,UZB,16,Eldor Shomurodov,player
Uzbekistan,UZB,17,Oston Urunov,player
Uzbekistan,UZB,18,Jaloliddin Masharipov,player
Uzbekistan,UZB,19,Igor Sergeev,player
Uzbekistan,UZB,20,Abbosbek Fayzullaev,player
